"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1500015A07Rik",0.017768231963292,0.0112359550561798,0.0178082191780822,0.0619469026548673,0,0.00591715976331361,0.00142450142450142,0.00675675675675676,0,0.00995024875621891,0.0170940170940171
"1500015O10Rik",0.000878648833349605,0,0.00410958904109589,0.00884955752212389,0,0.0118343195266272,0.105413105413105,0.331081081081081,20.54,0,0.0170940170940171
"1500017E21Rik",0.00117153177779947,0,0.00547945205479452,0,0,0,0.0056980056980057,0.00675675675675676,0.08,0,0
"1500026H17Rik",0.0116176901298448,0.00561797752808989,0.00684931506849315,0.0353982300884956,0,0.0118343195266272,0.0313390313390313,0,0,0,0.0170940170940171
"1500035N22Rik",0.0015620423703993,0,0,0.0176991150442478,0,0,0,0,0,0,0
"1600002H07Rik",0.0137654983891438,0.0393258426966292,0.0150684931506849,0.0353982300884956,0,0.0118343195266272,0.0106837606837607,0.00675675675675676,0.02,0.0199004975124378,0.0427350427350427
"1600002K03Rik",0.00331934003709851,0.0168539325842697,0.010958904109589,0,0.015625,0.0177514792899408,0.00997150997150997,0,0.06,0.0248756218905473,0
"1600012H06Rik",0.0166943278336425,0.0337078651685393,0.0315068493150685,0.0619469026548673,0.0625,0.0710059171597633,0.066951566951567,0.027027027027027,0.04,0.0895522388059701,0.0256410256410256
"1600014C10Rik",0.0213804549448404,0.0786516853932584,0.0465753424657534,0.0884955752212389,0.015625,0.0118343195266272,0.014957264957265,0.0135135135135135,0.08,0.0447761194029851,0.0256410256410256
"1600020E01Rik",0.0150346578150932,0.0112359550561798,0.0123287671232877,0.00884955752212389,0,0.0414201183431953,0.00997150997150997,0.00675675675675676,0.06,0.0447761194029851,0.0683760683760684
"1700001C02Rik",0,0,0,0,0,0,0.00284900284900285,0,0.68,0,0
"1700001G11Rik",0.000585765888899736,0.0112359550561798,0.00410958904109589,0,0,0.0236686390532544,0.00498575498575499,0,0,0.00497512437810945,0.00854700854700855
"1700001G17Rik",0.000195255296299912,0.0112359550561798,0,0.0176991150442478,0,0,0.000712250712250712,0,0,0,0
"1700001L19Rik",0,0.00561797752808989,0.00136986301369863,0.0265486725663717,0,0,0,0.0135135135135135,0.28,0,0.0256410256410256
"1700001O22Rik",0.000292882944449868,0.0224719101123595,0.00410958904109589,0,0,0,0.00142450142450142,0,0,0,0.0170940170940171
"1700003D09Rik",0.000390510592599824,0.0224719101123595,0,0,0,0,0.000712250712250712,0.0202702702702703,0,0,0
"1700003E16Rik",0.00234306355559895,0.00561797752808989,0.00410958904109589,0.0265486725663717,0,0,0.00712250712250712,0.0135135135135135,0.12,0,0
"1700003F12Rik",0.000390510592599824,0,0,0,0.015625,0,0.0220797720797721,0.00675675675675676,0,0,0
"1700003M02Rik",9.76276481499561e-05,0,0,0.00884955752212389,0,0,0,0,0.32,0,0
